City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
82,Vaini,TO,-21.2,-175.2,73.4,69,75,21.21,broken clouds
83,Hobart,AU,-42.88,147.33,61.0,58,72,9.17,broken clouds
84,Edd,ER,13.93,41.69,89.71,57,19,1.14,few clouds
85,Vila Velha,BR,-20.33,-40.29,77.0,83,0,16.11,clear sky
86,Tiksi,RU,71.69,128.87,43.34,87,98,5.08,overcast clouds
87,Namibe,AO,-15.2,12.15,67.1,89,62,2.35,broken clouds
88,Guerrero Negro,MX,27.98,-114.06,93.74,37,0,12.75,clear sky
89,Saint-Philippe,RE,-21.36,55.77,66.2,72,40,6.93,scattered clouds
90,Salalah,OM,17.02,54.09,78.8,88,75,6.93,broken clouds
91,Puri,IN,19.8,85.85,82.4,88,40,12.53,haze
92,Chokurdakh,RU,70.63,147.92,44.6,60,1,9.28,clear sky
93,Peleduy,RU,59.63,112.74,55.17,90,100,6.26,overcast clouds
94,Tasiilaq,GL,65.61,-37.64,37.4,93,79,11.41,mist
95,Seymchan,RU,62.88,152.43,51.37,72,72,2.17,broken clouds
96,Kanbe,MM,16.71,96.0,78.8,94,75,1.12,broken clouds
97,Ferme-Neuve,CA,46.7,-75.45,56.53,74,85,3.36,overcast clouds
98,Ponta Do Sol,PT,32.67,-17.1,73.4,73,20,6.93,few clouds
99,Sitka,US,57.05,-135.33,60.8,72,40,6.93,scattered clouds
100,Suzhou,CN,31.31,120.62,80.01,67,0,13.11,clear sky
101,Kamiiso,JP,41.82,140.65,75.2,88,75,2.24,broken clouds
102,Madikeri,IN,12.42,75.73,65.93,100,99,1.81,overcast clouds
103,Norman Wells,CA,65.28,-126.83,55.4,54,75,10.29,broken clouds
104,Monterey,US,36.25,-121.25,113.0,29,1,12.75,clear sky
105,Sioux Lookout,CA,50.1,-91.92,60.8,82,40,8.05,scattered clouds
106,Bredasdorp,ZA,-34.53,20.04,48.2,93,3,3.36,clear sky
107,Lafiagi,NG,8.87,5.42,73.56,93,38,3.56,scattered clouds
108,Barrow,US,71.29,-156.79,37.4,93,90,13.87,mist
109,Hambantota,LK,6.12,81.12,79.74,71,100,18.97,overcast clouds
110,Georgetown,MY,5.41,100.34,80.6,94,40,4.68,light rain
111,Carnarvon,AU,-24.87,113.63,66.2,100,40,5.82,scattered clouds
112,Kachiry,KZ,53.07,76.1,42.78,78,45,8.57,scattered clouds
113,Powell River,CA,49.85,-124.54,75.0,64,75,11.41,broken clouds
114,New Norfolk,AU,-42.78,147.06,59.0,56,72,3.0,broken clouds
115,Moura,PT,38.14,-7.45,71.6,53,0,6.93,clear sky
116,Srednekolymsk,RU,67.45,153.68,51.69,74,100,2.77,overcast clouds
117,Quatre Cocos,MU,-20.21,57.76,69.8,88,75,5.82,light intensity shower rain
118,Upernavik,GL,72.79,-56.15,36.1,83,98,12.15,overcast clouds
119,Husavik,IS,66.04,-17.34,55.4,76,75,18.34,broken clouds
120,Puerto Baquerizo Moreno,EC,-0.9,-89.6,66.27,87,83,11.01,broken clouds
121,Altay,CN,47.87,88.12,54.21,64,98,5.23,overcast clouds
122,Kununurra,AU,-15.77,128.73,73.4,70,90,3.36,overcast clouds
123,Disna,BY,55.57,28.2,51.94,94,56,5.23,broken clouds
124,Ust-Karsk,RU,52.7,118.81,54.1,77,0,1.12,clear sky
125,Los Llanos De Aridane,ES,28.66,-17.92,73.4,78,20,6.93,few clouds
126,Lorengau,PG,-2.02,147.27,84.2,77,10,12.66,clear sky
127,Arraial Do Cabo,BR,-22.97,-42.03,72.84,83,0,18.99,clear sky
128,Kaohsiung,TW,22.62,120.31,79.0,88,40,2.24,scattered clouds
129,Sinnamary,GF,5.38,-52.95,79.14,86,74,10.69,broken clouds
130,Ancud,CL,-41.87,-73.82,50.0,80,0,3.09,clear sky
131,Havelock,US,34.88,-76.9,81.0,68,48,8.99,scattered clouds
132,Hamilton,US,39.18,-84.53,80.6,57,1,8.05,clear sky
133,Nemuro,JP,43.32,145.57,68.34,95,88,9.6,overcast clouds
134,Ilulissat,GL,69.22,-51.1,37.4,86,100,6.93,overcast clouds
135,Guane,CU,22.2,-84.09,83.48,73,8,5.44,clear sky
136,Verkhnevilyuysk,RU,63.45,120.32,44.06,85,8,3.27,clear sky
137,Kajaani,FI,64.23,27.73,50.0,93,20,6.93,few clouds
138,Muisne,EC,0.6,-80.03,78.8,78,75,10.29,broken clouds
139,Noumea,NC,-22.28,166.46,73.99,73,100,3.36,overcast clouds
140,Bermejo,AR,-32.88,-68.8,59.0,44,40,4.0,scattered clouds
141,Yellowknife,CA,62.46,-114.35,48.2,61,75,6.93,broken clouds
142,Cidreira,BR,-30.18,-50.21,58.96,93,100,18.77,overcast clouds
143,Soyo,AO,-6.13,12.37,72.88,90,61,8.61,broken clouds
144,Oktyabrskoye,RU,43.06,44.74,64.4,93,100,4.47,overcast clouds
145,Amahai,ID,-3.33,128.92,78.1,86,98,4.56,overcast clouds
146,Mnogovershinnyy,RU,53.94,139.92,54.21,100,100,2.39,overcast clouds
147,Ribeira Grande,PT,38.52,-28.7,69.1,74,11,25.88,few clouds
148,Guilin,CN,25.28,110.29,77.0,94,90,4.47,mist
149,Gusau,NG,12.16,6.66,72.23,91,98,3.11,overcast clouds
150,Vostok,RU,46.49,135.88,64.63,70,100,1.83,overcast clouds
151,Cockburn Town,TC,21.46,-71.14,84.2,70,40,8.05,scattered clouds
152,Ust-Koksa,RU,50.27,85.61,39.97,77,100,1.97,overcast clouds
153,Port Elizabeth,ZA,-33.92,25.57,57.2,100,90,10.29,light intensity drizzle
154,Muros,ES,42.78,-9.06,57.99,76,1,6.93,clear sky
155,San Vicente,AR,-26.62,-54.13,66.69,88,81,5.32,light rain
156,Fort Nelson,CA,58.81,-122.7,53.6,66,75,2.24,broken clouds
157,Farsund,NO,58.09,6.8,55.0,86,0,19.37,clear sky
158,San Policarpo,PH,12.18,125.51,80.47,82,86,2.98,overcast clouds
159,Clarksdale,US,34.2,-90.57,90.0,38,38,0.2,scattered clouds
160,Half Moon Bay,US,37.46,-122.43,104.0,27,1,17.22,haze
161,Yerbogachen,RU,61.28,108.01,50.76,93,100,6.58,light rain
162,Abu Samrah,SY,35.3,37.18,70.99,47,0,1.25,clear sky
163,Ban Nahin,LA,18.24,104.21,76.19,91,100,2.3,light rain
164,Severo-Kurilsk,RU,50.68,156.12,56.86,90,100,5.64,overcast clouds
165,Mwense,ZM,-10.38,28.7,65.59,31,0,9.55,clear sky
166,Sao Filipe,CV,14.9,-24.5,77.95,83,47,19.26,scattered clouds
167,Saskylakh,RU,71.92,114.08,41.38,78,64,5.01,broken clouds
168,Coihaique,CL,-45.58,-72.07,50.0,61,39,5.82,scattered clouds
169,Tucurui,BR,-3.77,-49.67,82.98,50,37,0.85,scattered clouds
170,Tura,IN,25.52,90.22,74.01,97,100,4.79,moderate rain
171,Iquitos,PE,-3.75,-73.25,87.8,66,40,6.93,scattered clouds
172,Hanzhong,CN,33.07,107.03,64.72,77,0,1.23,clear sky
173,Ixtapa,MX,20.7,-105.2,86.0,74,90,6.93,overcast clouds
174,Hermosillo,MX,29.07,-110.97,111.2,16,40,8.05,scattered clouds
175,Fukue,JP,32.69,128.84,75.92,85,100,38.41,overcast clouds
176,Bacalar,MX,18.67,-88.38,87.8,66,40,9.17,scattered clouds
177,Te Anau,NZ,-45.42,167.72,46.27,68,23,0.45,few clouds
178,Gobabis,NA,-22.45,18.97,61.97,31,3,14.07,clear sky
179,Iqaluit,CA,63.75,-68.51,51.8,40,75,11.41,broken clouds
180,Gloucester,GB,51.87,-2.24,57.0,90,25,1.99,scattered clouds
181,Caibarien,CU,22.52,-79.47,82.4,78,75,11.41,broken clouds
182,Mashhad,IR,36.3,59.61,64.4,25,0,4.7,clear sky
183,Camapua,BR,-19.53,-54.04,83.01,18,68,3.06,broken clouds
184,Bahia Honda,CU,22.9,-83.16,81.99,74,2,9.84,clear sky
185,Flinders,AU,-34.58,150.86,66.0,76,0,8.99,clear sky
186,Lupiro,TZ,-8.38,36.67,69.46,69,22,5.82,few clouds
187,Auki,SB,-8.77,160.7,83.32,74,39,2.33,light rain
188,Blois,FR,47.58,1.33,53.01,87,5,3.53,clear sky
189,Truth Or Consequences,US,33.13,-107.25,93.2,18,1,10.42,clear sky
190,Caravelas,BR,-17.71,-39.25,72.01,87,27,5.73,scattered clouds
191,Quelimane,MZ,-17.88,36.89,69.8,77,20,4.7,few clouds
192,Grand Forks,US,47.93,-97.03,71.6,30,75,24.16,broken clouds
193,Salinopolis,BR,-0.61,-47.36,80.08,80,20,13.62,few clouds
