City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
135,Guane,CU,83.48,clear sky,22.2,-84.09,base de Campismo LosPortales de Guane
137,Kajaani,FI,50.0,few clouds,64.23,27.73,Original Sokos Hotel Valjus
138,Muisne,EC,78.8,broken clouds,0.6,-80.03,Quinta Samay
139,Noumea,NC,73.99,overcast clouds,-22.28,166.46,Hôtel Le Lagon
140,Bermejo,AR,59.0,scattered clouds,-32.88,-68.8,Hotel Mendoza
142,Cidreira,BR,58.96,overcast clouds,-30.18,-50.21,Hotel Castelo
143,Soyo,AO,72.88,broken clouds,-6.13,12.37,Hotel Mpampa
144,Oktyabrskoye,RU,64.4,overcast clouds,43.06,44.74,Prolesok Mini-hotel
145,Amahai,ID,78.1,overcast clouds,-3.33,128.92,Peternakan Ayam Bangkok Manisso
146,Mnogovershinnyy,RU,54.21,overcast clouds,53.94,139.92,Kvartsevaya Sopka
147,Ribeira Grande,PT,69.1,few clouds,38.52,-28.7,Quinta da Meia Eira
148,Guilin,CN,77.0,mist,25.28,110.29,Grand 0773 Hotel
149,Gusau,NG,72.23,overcast clouds,12.16,6.66,Dr. Salisu Ibrahim
151,Cockburn Town,TC,84.2,scattered clouds,21.46,-71.14,Osprey Beach Hotel
153,Port Elizabeth,ZA,57.2,light intensity drizzle,-33.92,25.57,39 On Nile Guest House
154,Muros,ES,57.99,clear sky,42.78,-9.06,Apartment Av. Castelao
155,San Vicente,AR,66.69,light rain,-26.62,-54.13,Complejo Turístico Farelluk
156,Fort Nelson,CA,53.6,broken clouds,58.81,-122.7,The Fort Nelson Hotel
157,Farsund,NO,55.0,clear sky,58.09,6.8,Farsund Fjordhotel
158,San Policarpo,PH,80.47,overcast clouds,12.18,125.51,Zal-Ann Beach Resort
159,Clarksdale,US,90.0,scattered clouds,34.2,-90.57,Americas Best Value Inn & Suites
164,Severo-Kurilsk,RU,56.86,overcast clouds,50.68,156.12,Kak Doma
165,Mwense,ZM,65.59,clear sky,-10.38,28.7,GrandPalm Lodge
166,Sao Filipe,CV,77.95,scattered clouds,14.9,-24.5,Tortuga B&B
168,Coihaique,CL,50.0,scattered clouds,-45.58,-72.07,Diego De Almagro Coyhaique
169,Tucurui,BR,82.98,scattered clouds,-3.77,-49.67,BBB Rooms Centro Tucurui PA
170,Tura,IN,74.01,moderate rain,25.52,90.22,Hotel RIKMAN Continental
171,Iquitos,PE,87.8,scattered clouds,-3.75,-73.25,Cortez Malaga Techy Caroly
172,Hanzhong,CN,64.72,clear sky,33.07,107.03,Guorui Hotel
173,Ixtapa,MX,86.0,overcast clouds,20.7,-105.2,Container Inn Puerto Vallarta
175,Fukue,JP,75.92,overcast clouds,32.69,128.84,Goto Guesthouse Utojuku & SA Car Rental
176,Bacalar,MX,87.8,scattered clouds,18.67,-88.38,Hotel Laguna Bacalar
179,Iqaluit,CA,51.8,broken clouds,63.75,-68.51,Frobisher Inn
180,Gloucester,GB,57.0,scattered clouds,51.87,-2.24,Edward Hotel
181,Caibarien,CU,82.4,broken clouds,22.52,-79.47,La Nena
182,Mashhad,IR,64.4,clear sky,36.3,59.61,Almas 1 Hotel
183,Camapua,BR,83.01,broken clouds,-19.53,-54.04,Comercial Estrela
184,Bahia Honda,CU,81.99,clear sky,22.9,-83.16,Casa Gualberto - Deysi
185,Flinders,AU,66.0,clear sky,-34.58,150.86,Shellharbour Resort & Conference Centre
186,Lupiro,TZ,69.46,few clouds,-8.38,36.67,AFRICAN JACCANA EXECUTIVE LODGE
187,Auki,SB,83.32,light rain,-8.77,160.7,Auki Motel
188,Blois,FR,53.01,clear sky,47.58,1.33,Appart'City Blois - Appart Hôtel
190,Caravelas,BR,72.01,scattered clouds,-17.71,-39.25,Pousada dos Navegantes
191,Quelimane,MZ,69.8,few clouds,-17.88,36.89,Hotel Flamingo
192,Grand Forks,US,71.6,broken clouds,47.93,-97.03,TownHouse Hotel - Grand Forks
193,Salinopolis,BR,80.08,few clouds,-0.61,-47.36,Hotel Salinópolis
194,Bambous Virieux,MU,69.8,light intensity shower rain,-20.34,57.76,Casa Tia Villa
195,Hasaki,JP,82.4,shower rain,35.73,140.83,Inubosaki Kanko Hotel
196,Athabasca,CA,53.11,overcast clouds,54.72,-113.29,Athabasca Lodge Motel
197,Ziro,IN,57.94,overcast clouds,27.63,93.83,Ka-ngam homestay
198,Palmer,US,78.8,scattered clouds,42.16,-72.33,Wedgewood Motel
200,Netarhat,IN,68.58,overcast clouds,23.48,84.27,Hotel Prakash
201,Peachland,CA,86.0,clear sky,49.77,-119.74,Wine Stopper B&B
202,Faanui,PF,78.13,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
203,Sotouboua,TG,70.03,overcast clouds,8.57,0.98,Hôtel Les Pros
204,San Pedro De Uraba,CO,86.0,scattered clouds,8.28,-76.38,Hotel La Gran Manzana
205,Alice Springs,AU,75.0,clear sky,-23.7,133.88,Desert Palms Alice Springs
206,Nome,US,54.0,broken clouds,64.5,-165.41,Dredge 7 Inn
207,Puerto Colombia,CO,73.4,broken clouds,10.99,-74.95,Hotel El Emigrante
208,Coahuayana,MX,77.0,thunderstorm,18.73,-103.68,Hotel Los Arcos
209,Coolum Beach,AU,64.0,light rain,-26.53,153.1,Palmer Coolum Resort
211,Berbera,SO,88.18,clear sky,10.44,45.01,Damal Hotel
212,Praia Da Vitoria,PT,69.01,broken clouds,38.73,-27.07,Hotel Branco I
213,Mount Gambier,AU,62.6,broken clouds,-37.83,140.77,Commodore on the Park
214,Poli,TZ,55.78,broken clouds,-3.33,36.8,Peace Matunda Campsite and Backpackers
215,Cervena Voda,CZ,57.0,light rain,50.04,16.74,Kramářova chata na Suchém vrchu
216,Champerico,GT,80.6,thunderstorm with rain,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
217,Belyy Yar,RU,50.0,overcast clouds,53.6,91.39,Pasportnyy Stol
218,Padang,ID,76.12,broken clouds,-0.95,100.35,Mercure Padang
219,Hithadhoo,MV,82.04,overcast clouds,-0.6,73.08,Scoop Guest House
220,Kruisfontein,ZA,53.01,clear sky,-34.0,24.73,Oyster Bay House Rental
221,Torbay,CA,60.01,broken clouds,47.67,-52.73,Gallows Cove
223,Porto Belo,BR,66.99,broken clouds,-27.16,-48.55,Costa Verde Beach Hotel
224,Fortuna,US,89.01,clear sky,40.6,-124.16,Super 8 by Wyndham Fortuna
225,Hovd,MN,55.99,moderate rain,48.01,91.64,Hotel Khovd
228,Zhucheng,CN,68.23,clear sky,35.99,119.4,Fanrong Hotel
230,Dingle,PH,80.08,broken clouds,11.0,122.67,Camp Pasica
232,Broome,US,71.01,clear sky,42.25,-75.83,Chenango Valley State Park
234,Salas,ES,62.6,scattered clouds,43.41,-6.26,Hotel Castillo Valdes Salas
236,Riviere-Du-Loup,CA,55.11,clear sky,47.83,-69.53,Hôtel Universel
237,Yarim,YE,58.37,few clouds,14.3,44.38,بقاله ابو محظار
238,Comodoro Rivadavia,AR,51.8,clear sky,-45.87,-67.5,Austral Hotel
239,Khuzdar,PK,76.86,clear sky,27.74,66.64,jhalwan Rent A Car Moola Chotok Boking Office
242,Jinchang,CN,63.82,clear sky,38.5,102.17,Mingshihui Jinchang International Hotel
244,Hirara,JP,80.6,few clouds,24.8,125.28,Hotel Atoll Emerald Miyakojima
245,Savannah Bight,HN,82.74,broken clouds,16.45,-85.85,Villa on Dunbar Rock
246,Hobyo,SO,76.08,clear sky,5.35,48.53,Osmani Hotel
247,Roald,NO,51.8,light rain,62.58,6.13,Flem Cabins
248,Goderich,CA,72.0,scattered clouds,43.75,-81.72,Harmony Inn
249,Santa Helena De Goias,BR,78.94,clear sky,-17.81,-50.6,Hotel Pacheco
250,Pontes E Lacerda,BR,85.03,scattered clouds,-15.23,-59.34,Hotel Bressan
252,Lancaster,US,79.0,clear sky,40.25,-76.25,Refreshing Mountain Retreat and Adventure Center
254,Daru,PG,78.94,overcast clouds,-9.08,143.21,New century hotel
255,Vanimo,PG,82.72,broken clouds,-2.67,141.3,Vahmoneh Lodge Vanimo
257,Kapuskasing,CA,60.8,overcast clouds,49.42,-82.43,Park Inn Motel
258,Mahebourg,MU,69.8,light intensity shower rain,-20.41,57.7,Shandrani Beachcomber Resort & Spa
259,Kedgwick,CA,51.58,scattered clouds,47.64,-67.34,A la Belle Etoile
260,Barranca,PE,60.4,broken clouds,-10.75,-77.77,El Olivar Hospedaje
261,Fare,PF,78.49,light rain,-16.7,-151.02,Maitai Lapita Village Huahine
262,Vredendal,ZA,58.41,clear sky,-31.67,18.5,Tharrakamma Guest House
264,Grand Gaube,MU,66.99,moderate rain,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
265,Koutiala,ML,73.18,moderate rain,12.39,-5.46,Hotel Campement Poule Verte
266,Mayo,US,79.0,clear sky,38.89,-76.51,Resorts Resource Group International
267,Dargaville,NZ,57.76,light rain,-35.93,173.88,Parkview Motel
272,Kijang,KR,77.0,heavy intensity rain,35.24,129.21,Brown Dot Gijang Yeonhwari
275,Kota Bahru,MY,75.2,few clouds,6.13,102.24,Grand Riverview Hotel
276,Marmashen,AM,59.0,clear sky,40.83,43.78,Hotel Gold
277,Sechura,PE,68.47,clear sky,-5.56,-80.82,Hospedaje Costa Bella
278,Samarai,PG,78.96,overcast clouds,-10.62,150.67,Nuli Sapi
280,Methoni,GR,77.0,clear sky,36.82,21.7,Methoni Beach Hotel
281,Mitsamiouli,KM,74.71,clear sky,-11.38,43.28,Foyer ADM
282,Tarata,BO,73.4,broken clouds,-17.62,-66.02,TARA TARA Centro Alternativo Hosting
283,Pisco,PE,64.99,few clouds,-13.7,-76.22,Hostal San Isidro Oficial
284,Cabinda,AO,73.18,scattered clouds,-5.55,12.2,"Hotel Executivo , 3 estrelas"
286,Energeticheskiy,KZ,62.6,overcast clouds,43.43,77.02,Баня Land
287,Jibuti,DJ,86.0,clear sky,11.5,42.5,Orchid Main Camp Goubet
288,Masterton,NZ,54.0,scattered clouds,-40.96,175.66,Copthorne Hotel & Resort Solway Park Wairarapa
290,Malim,PH,81.09,overcast clouds,7.45,123.43,Malim
291,Praya,CV,80.6,broken clouds,14.92,-23.51,LT Aparthotel
293,Kavaratti,IN,82.76,overcast clouds,10.57,72.64,Hotels in Lakshadweep Islands
294,Kutum,SD,77.2,scattered clouds,14.2,24.67,Dibbo areaمنطقة دبو
295,College,US,60.01,scattered clouds,64.86,-147.8,Pike's Waterfront Lodge
296,Springbok,ZA,52.9,clear sky,-29.66,17.89,Undulata Country Lodge
297,Gorontalo,ID,77.32,few clouds,0.54,123.06,Maqna Hotel by Prasanthi
298,Victoria,HK,84.0,light rain,22.29,114.16,Mini Hotel Central
303,Pran Buri,TH,80.38,overcast clouds,12.38,99.91,Waterside Resort
304,Swan Hill,AU,58.24,light rain,-35.34,143.55,Lazy River Motor Inn
305,Narok,KE,58.28,light rain,-1.08,35.86,OLORROPIL TOWERS
306,Saldanha,ZA,51.8,clear sky,-33.01,17.94,Blue Bay Lodge
307,Grindavik,IS,50.0,light intensity drizzle rain,63.84,-22.43,Northern Light Inn & Max's Restaurant
308,Bayonet Point,US,82.0,thunderstorm,28.33,-82.68,Holiday Inn Express & Suites Port Richey
309,Touros,BR,75.2,broken clouds,-5.2,-35.46,INN NEW HORIZON
310,Alexandria,EG,78.8,scattered clouds,31.22,29.96,Royal Crown Hotel
311,Acapulco,MX,82.4,overcast clouds,16.86,-99.89,HS Hotsson Smart Acapulco
312,Kostyantynivka,UA,64.22,scattered clouds,48.53,37.71,Fantaziya
315,Kozhva,RU,51.12,scattered clouds,65.11,57.05,Gostinicha IP Kayuda Olga Aleksandrovna
316,Buala,SB,84.67,light rain,-8.14,159.59,Maringe Lagoon Lodge
318,Marsa Matruh,EG,77.0,clear sky,31.35,27.25,Beau Site
319,Kisangani,CD,70.36,broken clouds,0.52,25.2,Grand Ramela Hotel
321,Grafton,US,73.4,few clouds,42.21,-71.69,The Grafton Inn
322,Villa Del Rosario,CO,84.2,scattered clouds,7.83,-72.47,Hotel Villas de San Diego
324,San Jeronimo,PE,59.34,broken clouds,-11.95,-75.28,Tuki Llajta Pueblo Bonito Eco Lodge
325,Hannibal,US,87.8,clear sky,39.71,-91.36,Country Hearth Inn Hannibal
326,Serra Negra,BR,82.4,clear sky,-22.61,-46.7,Shelton Hotel
327,Buyukcavuslu,TR,64.4,clear sky,41.24,28.06,Villa Güçiü Boutique Hotel
328,Revelstoke,CA,80.6,broken clouds,50.98,-118.2,Best Western Plus Revelstoke
330,Westport,US,75.99,broken clouds,41.14,-73.36,The Westport Inn
331,Abrau-Dyurso,RU,64.4,scattered clouds,44.69,37.59,Avgustin Inn
332,Tawau,MY,75.2,few clouds,4.25,117.89,Shervinton Executive Boutique Hotel
334,Hokitika,NZ,56.5,clear sky,-42.72,170.97,Beachfront Hotel Hokitika
335,Durban,ZA,62.6,few clouds,-29.86,31.03,Hilton Durban
336,Dubrovnik,HR,68.0,clear sky,42.65,18.09,Hotel Dubrovnik Palace
337,Erenhot,CN,62.82,few clouds,43.65,111.98,Erenhot Rurouni Youth Hostel
338,Parambu,BR,73.9,few clouds,-6.21,-40.69,Hotel pousada santo onofre
340,Vao,NC,71.11,overcast clouds,-22.67,167.48,Hotel Kou-Bugny
342,Klaksvik,FO,50.0,light rain,62.23,-6.59,Airbnb rooms
343,Jalu,LY,76.89,clear sky,29.03,21.55,Jalu Hotel
344,Warrnambool,AU,57.0,few clouds,-38.38,142.48,Lady Bay Resort
345,Saint Anthony,US,82.4,clear sky,45.02,-93.22,Holiday Inn Express Roseville-St. Paul
346,Kalmunai,LK,78.67,overcast clouds,7.42,81.82,VS Villa
347,Kahului,US,89.6,few clouds,20.89,-156.47,Maui Seaside Hotel
348,Singapore,SG,78.8,scattered clouds,1.29,103.85,The Fullerton Hotel Singapore
349,Paternion,AT,57.0,moderate rain,46.71,13.64,Gasthof Zentral
350,Pokhara,NP,69.96,few clouds,28.23,83.98,Hotel View Point
351,Sadri,IN,78.91,broken clouds,25.18,73.43,Chandra Hill Resort
352,Wanning,CN,81.84,overcast clouds,18.8,110.4,Paradise Hotel
353,Dubbo,AU,59.0,clear sky,-32.25,148.62,Comfort Inn Blue Lagoon
356,Carnduff,CA,62.01,broken clouds,49.17,-101.8,Western Star All Suites Hotel Carnduff
357,Kendari,ID,75.69,broken clouds,-3.94,122.5,Hotel Wixel
358,Nipawin,CA,51.8,scattered clouds,53.37,-104.0,Tobin Lake Motel
360,Rawson,AR,52.32,clear sky,-43.3,-65.1,Hotel Punta León
361,Majene,ID,78.33,broken clouds,-3.54,118.97,Kost Putri RABBANI
363,Bethel,US,75.2,broken clouds,41.37,-73.41,Courtyard by Marriott Danbury
364,Ajaccio,FR,68.0,broken clouds,42.0,8.92,Sole E Monte
368,Lasa,IT,51.8,light rain,46.62,10.7,Pension Feldgärtenhof
370,Kifri,IQ,87.84,clear sky,34.7,44.97,میزان کفری
371,Vad,RU,55.56,broken clouds,55.53,44.21,Riv'yera Rezort Otel'
372,Harrismith,ZA,50.85,scattered clouds,-28.27,29.13,Sir Harry's Lodge
373,Les Cayes,HT,81.88,overcast clouds,18.2,-73.75,Villa Orphee
374,Camacha,PT,71.6,few clouds,33.08,-16.33,Hotel Porto Santo & Spa
377,Kirando,TZ,77.79,broken clouds,-7.42,30.6,Lakeshore Lodge
378,Santa Fe,AR,62.01,overcast clouds,-31.63,-60.7,Conquistador Hotel
379,Port Hedland,AU,66.2,scattered clouds,-20.32,118.57,The Esplanade Hotel
381,Eraclea,IT,71.6,scattered clouds,45.58,12.68,eraclea
382,San Andres,CO,87.8,scattered clouds,12.58,-81.7,Hotel Arena Blanca
383,Saint-Georges,GD,86.0,few clouds,12.06,-61.75,Siesta Hotel
384,Saint-Pierre,RE,66.2,clear sky,-21.34,55.48,Lindsey Hôtel
386,Wasilla,US,62.6,clear sky,61.58,-149.44,Alaska's Select Inn Wasilla
387,Bowen,AU,71.6,scattered clouds,-20.02,148.23,Castle Motor Lodge Motel
391,Seminole,US,88.0,broken clouds,28.71,-81.21,WHITNEY-WOLCOTT HOUSE ON LAKE CHARM
392,Skjervoy,NO,50.32,overcast clouds,70.03,20.97,Skjervøy Byggeservice AS
394,Nieuw Amsterdam,SR,82.0,thunderstorm,5.88,-55.08,Hotel Stardust
395,Luau,AO,69.62,clear sky,-10.71,22.22,Kimbo Hotel
396,Kirakira,SB,78.85,overcast clouds,-10.45,161.92,SanBiz Lodge
397,Sorong,ID,77.49,overcast clouds,-0.88,131.25,The Waigo Hotel
398,Oyama,JP,81.0,light intensity shower rain,36.3,139.8,Toyoko Inn Oyama-eki Higashi-guchi No.1
400,Moerai,PF,69.93,overcast clouds,-22.43,-151.33,Le Manotel
401,Palkonda,IN,77.74,broken clouds,18.6,83.75,Mee Seva + Aadhaar Center
402,Northam,GB,57.99,broken clouds,51.03,-4.22,Durrant House Hotel
403,Brae,GB,50.0,overcast clouds,60.4,-1.35,Busta House Hotel
405,Kaitangata,NZ,53.01,few clouds,-46.28,169.85,Kaitangata Motor Camp
407,Verkhniy Fiagdon,RU,64.4,light rain,42.83,44.31,Гостиница Фиагдон
409,Luganville,VU,79.72,broken clouds,-15.53,167.17,The Espiritu Hotel
410,Lubao,PH,78.8,broken clouds,14.92,120.55,Hacienda Gracia
411,Pyapon,MM,78.85,very heavy rain,16.28,95.68,Aung Naing Thu Motel
412,Tigzirt,DZ,72.37,clear sky,36.89,4.12,Appartement de la plage
413,Katsuura,JP,82.4,broken clouds,35.13,140.3,Katsuura Hotel Mikazuki
414,Trelleborg,SE,54.0,clear sky,55.38,13.16,Hotell Dannegården
415,Itamarandiba,BR,64.44,clear sky,-17.86,-42.86,Aricanduva Hotel
416,Jatai,BR,77.61,clear sky,-17.88,-51.71,La Vitre Hotel
418,Magoula,GR,77.0,clear sky,38.08,23.52,Elefsina Hotel
419,Mehamn,NO,50.0,moderate rain,71.04,27.85,Mehamn Arctic Hotel AS
420,Santa,PH,79.75,overcast clouds,17.49,120.43,The Mansion
421,Ponta Delgada,PT,68.0,light intensity shower rain,37.73,-25.67,Vila Nova Hotel
422,Waingapu,ID,75.54,few clouds,-9.66,120.26,Pondok Wisata Elim
424,Inta,RU,52.59,scattered clouds,66.03,60.17,Apartments in Inta city
425,Tezu,IN,75.6,overcast clouds,27.92,96.17,Circuit House
427,Pokaran,IN,86.61,clear sky,26.92,71.92,Motel Pokaran - RTDC
430,Buchanan,LR,76.35,light rain,5.88,-10.05,Kamaneahn Hotel Inc
431,Maragogi,BR,73.18,clear sky,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
433,Moi,NO,55.0,clear sky,58.46,6.55,Moi Hotel
434,Bosaso,SO,88.59,few clouds,11.28,49.18,Red Sea Hotel
435,Svetlyy,RU,53.6,few clouds,54.67,20.13,"Gostinitsa-Kafe, Alena"
437,Mildura,AU,63.0,clear sky,-34.2,142.15,Mercure Hotel Mildura
440,Kingisepp,RU,50.88,scattered clouds,59.37,28.61,Narva
442,Mae Hong Son,TH,73.6,overcast clouds,19.3,97.97,Baiyoke Chalet Hotel
443,Tukrah,LY,74.17,clear sky,32.53,20.58,استراحة لاقروتا
444,Alofi,NU,77.0,broken clouds,-19.06,-169.92,Taloa Heights
446,Matara,LK,77.61,overcast clouds,5.95,80.54,Amaloh Boutique Resort
447,Malanje,AO,68.63,broken clouds,-9.54,16.34,Malanje Hotel
448,Naron,ES,64.0,clear sky,43.52,-8.15,Marcial
449,Port Lincoln,AU,66.79,overcast clouds,-34.73,135.87,Port Lincoln Hotel
450,Santa Isabel Do Rio Negro,BR,77.77,overcast clouds,-0.41,-65.02,Hotel GSA
451,Misratah,LY,79.27,scattered clouds,32.38,15.09,فندق الماسة
452,Ahipara,NZ,57.78,broken clouds,-35.17,173.17,Ahipara Holiday Park
453,Lapeer,US,69.8,clear sky,43.05,-83.32,Holiday Inn Express Lapeer
454,Tangi,PK,73.4,haze,34.3,71.65,Gul faraz khan house
